/homes/as3159/.local/lib/python3.6/site-packages/torch/nn/modules/container.py:141: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Torchviz was not found.
Current task: 0
Epoch: 0044 cost= 0.247400582
Epoch: 0045 cost= 0.260328799
Epoch: 0046 cost= 0.247272432
Epoch: 0047 cost= 0.240297377
Epoch: 0048 cost= 0.244365811
Epoch: 0049 cost= 0.246011764
Epoch: 0050 cost= 0.246936917
Epoch: 0051 cost= 0.251708537
Epoch: 0052 cost= 0.239119649
Epoch: 0053 cost= 0.256922901
Epoch: 0054 cost= 0.253528446
Epoch: 0055 cost= 0.232718244
Epoch: 0056 cost= 0.234195143
Epoch: 0057 cost= 0.235558718
Epoch: 0058 cost= 0.230144992
Epoch: 0059 cost= 0.229334384
Epoch: 0060 cost= 0.244085044
Epoch: 0061 cost= 0.253630966
Epoch: 0062 cost= 0.226411387
Epoch: 0063 cost= 0.250348508
Epoch: 0064 cost= 0.235122234
Epoch: 0065 cost= 0.227634549
Epoch: 0066 cost= 0.278282493
Epoch: 0067 cost= 0.230758101
Epoch: 0068 cost= 0.238361776
Epoch: 0069 cost= 0.245123744
Epoch: 0070 cost= 0.237956375
Epoch: 0071 cost= 0.233224228
Epoch: 0072 cost= 0.223722011
Epoch: 0073 cost= 0.232940301
Epoch: 0074 cost= 0.236621290
Epoch: 0075 cost= 0.245544419
Epoch: 0076 cost= 0.239001527
Epoch: 0077 cost= 0.231955096
